gender,height,weight
male,149,83
male,169,66
male,183,108
male,181,111
female,175,83
male,185,71
female,172,74
male,176,96
female,163,79
male,181,93
male,167,91
male,173,86
male,170,83
female,165,94
male,154,76
male,188,76
male,170,96
male,172,79
female,169,51
male,185,89
female,172,64
male,178,61
male,190,101
female,176,57
male,181,78
male,182,108
male,175,84
male,167,74
female,159,67
female,165,75
female,177,80
male,183,92
male,178,93
male,168,90
male,182,89
female,179,86
male,157,60
male,162,66
male,191,97
male,177,82
female,175,90
female,158,67
female,186,80
female,162,56
male,201,111
male,182,80
male,170,75
male,182,80
female,160,58
female,169,95
female,151,61
male,160,54
male,170,83
female,169,70
female,182,78
female,180,98
male,191,77
female,168,95
male,178,70
male,180,70
female,163,56
female,181,119
female,180,73
female,146,57
male,185,93
male,168,71
male,189,86
male,161,48
male,167,82
female,194,131
male,187,91
male,166,73
female,159,67
female,156,75
male,178,97
male,177,77
male,183,79
female,165,72
male,187,117
male,186,92
female,154,49
male,185,95
female,167,62
male,184,84
female,162,59
female,171,82
male,178,66
female,148,45
male,182,75
male,163,52
female,166,91
female,171,76
male,177,75
male,186,86
male,178,91
female,162,75
female,172,56
male,178,85
female,152,46
female,152,55
