gender,height,weight
female,171,79
male,171,85
female,168,90
male,176,72
male,170,83
male,192,98
male,170,76
male,185,91
male,171,59
female,164,59
female,175,81
male,179,84
female,179,86
female,159,88
male,168,69
female,150,36
female,178,90
female,160,76
female,176,71
male,178,83
female,167,90
male,203,121
male,185,85
female,161,72
male,160,46
male,170,86
male,165,75
female,154,64
male,178,80
male,193,108
female,158,71
female,157,64
male,170,94
male,166,72
female,184,99
male,175,76
female,187,75
female,177,68
female,165,67
female,165,78
female,163,59
male,185,84
male,197,90
female,153,57
male,172,74
male,180,100
female,169,95
male,180,91
female,178,83
male,162,75
female,162,41
male,178,82
female,155,65
male,168,68
male,178,87
male,167,85
male,166,64
female,162,46
male,186,96
female,169,70
male,168,74
male,175,78
female,157,61
male,168,72
male,196,109
male,198,103
female,157,63
male,181,91
male,173,91
female,174,103
male,190,82
female,157,69
male,173,92
female,165,59
male,172,84
male,171,76
male,183,87
female,159,57
female,164,83
female,166,84
female,160,60
male,185,94
male,185,105
male,181,115
male,190,84
male,186,102
female,168,68
male,191,114
male,163,37
male,180,71
male,165,61
female,162,70
female,170,87
male,183,90
female,166,77
female,177,87
male,175,81
male,168,86
male,172,76
male,176,97
