gender,height,weight
male,180,89
female,170,71
male,169,89
female,165,79
female,164,73
male,171,89
male,188,96
male,176,88
male,180,109
male,157,69
female,181,97
male,172,92
female,171,89
female,171,57
male,181,120
female,175,80
male,182,84
female,178,97
female,163,72
female,154,63
female,162,58
female,171,87
female,156,87
female,165,70
male,178,90
male,177,59
male,167,70
female,158,61
female,171,106
female,184,85
female,179,85
male,183,83
female,162,73
female,167,74
male,176,87
female,177,80
female,169,83
female,165,79
female,180,101
male,191,97
female,139,46
female,175,85
female,164,83
female,157,77
female,157,66
male,185,89
female,160,73
male,186,85
male,177,100
female,157,78
female,166,86
female,142,41
female,158,84
female,169,92
female,155,72
female,165,76
male,163,99
male,191,101
female,164,62
female,154,57
female,172,67
female,181,81
female,144,43
male,176,84
female,189,109
male,173,75
female,164,70
female,191,106
male,170,71
female,158,72
female,189,95
female,152,57
female,173,105
female,169,75
male,168,81
male,180,107
female,151,46
male,162,82
male,181,82
male,156,51
female,193,111
female,163,62
male,168,91
female,167,66
female,176,68
female,166,78
female,159,70
male,174,73
male,181,91
female,173,89
female,176,98
female,151,65
male,176,68
male,187,86
male,187,100
female,164,100
female,169,67
male,179,84
female,191,96
male,184,101
