gender,height,weight
male,172,99
female,179,95
male,174,77
male,176,92
male,178,61
male,162,62
male,168,47
male,181,92
male,166,71
female,175,103
male,163,81
male,162,100
male,166,63
female,146,58
male,186,97
female,164,60
male,170,59
female,170,58
male,181,85
male,157,74
male,200,101
female,161,47
female,162,46
female,171,81
female,153,59
female,167,58
male,177,102
male,175,88
female,177,95
male,172,61
male,203,101
female,161,66
female,160,62
female,178,56
female,154,59
male,166,73
female,175,79
male,173,88
male,175,72
female,160,82
male,172,99
male,187,93
female,167,91
male,182,97
male,186,103
male,178,97
male,169,80
female,169,71
male,180,90
male,188,85
male,186,96
male,179,78
male,193,86
male,195,92
female,149,80
male,170,74
male,167,63
male,190,90
male,163,46
female,161,77
male,164,92
male,158,60
female,163,63
female,170,99
female,163,85
female,179,101
male,167,65
male,192,91
female,161,93
male,194,73
female,163,95
male,175,56
male,186,97
female,158,41
female,187,103
female,174,76
male,186,92
male,172,90
female,142,45
female,170,83
female,172,97
female,152,51
female,170,81
female,167,97
female,156,80
male,182,75
male,180,68
female,159,66
female,167,82
male,174,78
female,170,69
male,174,81
female,178,100
male,182,96
male,159,75
male,169,87
female,178,87
male,180,79
male,175,78
male,162,79
