gender,height,weight
male,186,98
female,174,74
female,154,63
male,178,88
female,176,100
male,181,98
female,179,104
female,166,91
female,170,84
male,173,98
female,161,67
male,183,75
male,186,97
female,168,69
male,167,73
male,180,109
male,171,74
female,173,73
female,166,81
female,160,60
male,187,102
female,167,73
male,178,88
male,183,85
female,152,56
male,175,80
female,164,73
female,172,93
male,186,128
male,177,86
female,167,66
male,178,86
male,181,87
male,156,73
male,176,68
female,144,43
female,158,59
female,168,75
female,168,57
male,149,60
female,169,80
female,169,90
female,165,79
male,178,77
male,164,86
female,160,72
male,196,90
female,161,78
female,167,62
male,158,63
male,177,67
female,177,81
male,174,61
male,168,87
female,171,94
female,161,69
male,187,94
male,148,61
female,168,63
female,190,102
male,175,81
female,149,60
female,180,105
male,184,76
female,152,95
female,165,77
male,181,101
male,180,84
male,177,90
female,184,93
female,183,94
male,193,123
male,161,67
male,176,101
male,181,74
female,164,74
male,147,60
female,165,78
male,183,90
female,173,75
female,156,70
male,176,87
male,154,49
female,176,94
male,169,62
female,178,86
female,153,56
male,184,107
female,175,84
female,155,59
male,174,87
male,183,79
male,199,100
male,194,99
female,177,80
female,181,91
female,170,62
female,186,96
female,160,81
male,175,72
