gender,height,weight
male,170,80
male,162,68
female,154,84
female,175,51
female,175,75
male,197,100
female,150,57
female,185,95
female,170,76
female,163,68
female,159,69
male,157,76
male,176,80
female,173,107
male,173,92
male,182,85
female,164,75
female,154,70
male,180,71
female,177,94
female,164,85
female,163,76
female,149,59
male,169,94
female,154,78
female,156,67
male,171,82
female,156,81
male,184,123
female,175,90
male,173,99
male,181,88
female,156,84
male,177,74
female,165,67
male,172,76
female,155,61
female,179,103
female,159,69
male,180,78
female,173,72
female,148,67
female,180,65
male,152,48
male,163,72
female,180,101
male,194,90
male,183,84
female,176,92
male,175,88
female,171,90
male,176,83
female,147,66
male,175,74
male,171,68
female,167,77
male,190,95
female,193,98
female,168,75
female,165,68
female,169,57
female,152,37
female,156,85
male,170,74
female,182,87
male,172,83
male,187,93
male,182,86
female,171,108
male,190,102
male,176,74
male,178,75
female,162,86
male,161,82
female,155,85
female,153,66
female,181,91
male,177,89
female,179,83
male,185,105
male,173,73
female,164,78
female,150,64
male,180,109
male,170,79
female,159,67
male,181,64
female,162,92
male,187,105
female,143,49
female,168,90
male,164,75
female,168,62
female,168,81
male,191,104
male,174,82
female,165,72
female,176,93
female,152,62
female,157,45
