gender,height,weight
female,170,63
female,154,62
male,183,118
female,154,46
male,189,93
female,160,78
male,178,96
female,163,68
female,157,58
female,158,73
female,177,72
male,185,102
female,176,81
female,176,91
male,166,75
female,173,66
male,176,91
female,159,82
male,177,88
female,170,77
female,158,87
male,168,64
male,166,69
female,156,74
male,175,76
male,180,85
female,170,77
female,144,38
male,158,75
female,171,65
female,176,95
female,165,79
male,189,97
female,186,84
male,186,98
female,153,68
male,184,84
female,180,119
male,175,62
female,172,82
male,171,70
female,153,79
male,188,80
male,175,78
male,162,77
male,171,71
female,168,67
female,162,60
female,173,86
female,174,79
male,187,93
female,167,59
male,159,81
female,160,78
male,161,88
female,164,42
female,157,47
male,168,84
female,169,62
female,159,65
female,159,64
female,169,80
female,154,53
male,161,81
female,172,75
male,180,105
female,161,66
female,160,65
male,174,75
female,181,90
female,155,48
female,159,70
female,171,60
female,169,82
female,163,57
female,160,77
female,172,88
male,171,63
female,170,78
female,170,65
male,200,129
female,175,80
female,150,70
male,176,81
female,167,97
female,176,66
female,165,76
male,180,89
female,169,70
male,177,95
female,147,60
male,159,49
female,187,75
male,183,92
female,163,80
female,174,85
female,174,86
female,169,72
female,173,72
female,159,60
