gender,height,weight
male,161,66
female,169,62
male,173,89
female,162,69
female,171,62
male,176,87
male,168,88
female,184,104
female,153,54
male,180,76
female,160,62
female,166,55
female,144,36
female,166,63
male,178,98
female,180,90
female,167,81
male,177,71
male,174,76
male,197,122
female,165,95
female,174,81
female,166,82
female,192,101
male,187,119
male,172,71
male,175,65
male,169,93
male,178,93
male,172,81
female,166,46
male,166,66
female,175,74
male,189,102
male,180,97
male,175,80
male,186,92
female,184,105
female,168,90
male,172,52
male,181,103
female,174,72
male,192,83
female,157,79
male,160,75
female,156,71
female,156,85
male,206,115
female,192,106
female,155,74
female,155,69
male,185,112
male,189,125
male,181,107
male,174,79
male,180,98
female,164,78
female,166,94
female,161,67
male,169,53
female,163,60
female,176,89
female,176,78
female,189,78
female,165,77
female,150,69
female,183,95
female,175,78
female,174,92
male,182,99
male,172,78
female,175,94
female,174,84
female,170,82
male,186,90
female,165,66
female,158,58
female,147,46
female,188,100
male,188,82
female,172,93
male,175,82
male,180,82
male,176,85
female,171,84
male,187,113
female,158,60
male,178,111
male,179,76
female,150,65
male,186,94
female,164,83
female,162,75
male,176,83
female,155,78
female,182,80
female,158,75
female,166,82
female,158,55
male,187,92
