gender,height,weight
male,178,71
male,182,95
female,172,100
female,171,73
male,181,111
female,175,92
male,168,59
male,181,93
male,195,106
male,195,103
male,172,90
male,188,102
male,177,65
female,178,103
female,178,88
male,194,96
male,163,50
female,174,102
male,189,99
male,187,88
female,168,91
female,173,79
male,189,97
female,185,83
male,177,91
female,169,82
female,167,89
female,173,77
female,164,92
female,164,70
female,172,91
female,168,96
female,161,73
female,171,106
male,161,81
male,183,88
male,170,84
female,177,80
male,179,88
male,165,71
male,178,88
male,192,120
female,157,73
female,171,79
male,168,75
male,175,96
female,175,55
female,173,76
male,184,119
female,171,60
female,183,79
male,176,85
male,163,82
male,183,87
male,183,96
male,168,58
male,168,69
female,168,89
male,161,80
female,192,114
female,164,63
male,182,105
female,179,79
male,172,49
male,168,77
female,167,55
female,159,55
female,169,67
male,181,82
female,160,67
male,182,111
female,180,90
female,172,93
male,172,81
female,169,60
male,184,71
male,157,62
male,171,89
female,138,70
female,162,90
female,162,81
female,172,81
female,167,66
female,165,87
female,165,90
female,172,73
male,176,77
male,166,57
female,157,69
male,195,96
male,169,103
female,159,63
female,170,86
male,185,94
female,168,82
female,157,72
female,163,72
female,177,67
female,175,80
female,164,78
