gender,height,weight
female,173,66
female,166,67
female,176,75
male,184,85
male,174,96
male,172,79
male,179,84
female,154,65
female,173,94
female,176,65
male,181,86
female,164,54
female,170,78
male,161,76
female,174,97
male,193,98
female,158,73
female,164,93
female,159,69
male,172,84
male,175,96
male,178,87
male,172,91
female,169,77
female,164,79
female,168,88
male,182,89
female,170,63
male,174,88
male,170,79
female,174,99
male,184,99
male,184,106
female,164,70
male,187,98
male,183,100
female,173,65
female,172,91
male,180,103
male,198,98
male,194,82
female,180,95
male,170,81
female,163,62
female,187,111
female,152,56
male,172,63
male,191,92
male,185,79
male,179,103
female,174,85
female,176,98
female,169,58
male,181,93
female,168,79
female,158,71
female,159,61
male,165,74
female,182,96
male,193,91
female,171,100
female,179,68
female,157,61
male,170,90
male,181,58
male,170,79
female,169,75
male,187,89
male,181,117
female,153,57
male,160,51
male,157,65
female,163,64
female,157,63
male,169,73
male,175,95
female,163,58
male,160,76
female,175,88
male,162,77
female,166,77
female,171,98
female,157,29
male,171,96
male,174,93
female,162,78
female,157,53
female,175,89
female,164,89
female,167,77
female,159,70
female,174,72
female,177,83
male,184,101
female,167,73
female,167,68
male,198,101
female,178,81
male,179,83
female,177,106
