gender,height,weight
female,169,81
male,161,82
male,177,76
male,182,98
female,156,58
male,176,77
female,162,65
male,197,96
female,169,52
female,154,46
female,146,69
male,173,94
female,166,59
male,159,62
male,158,71
male,193,104
female,172,85
male,181,78
female,182,99
female,170,70
male,147,75
male,184,111
male,168,69
female,155,66
female,172,87
female,170,107
male,182,88
female,180,70
male,190,101
female,162,60
female,170,74
male,177,78
female,166,56
male,159,55
female,163,70
male,185,93
female,174,73
male,191,85
female,177,98
female,145,41
female,180,47
female,159,74
male,191,78
male,187,74
male,182,105
male,183,99
female,158,54
female,165,64
male,176,74
male,186,87
female,186,83
male,185,82
male,174,65
female,171,81
male,190,108
male,174,66
female,172,82
male,187,111
male,173,82
female,169,71
male,189,98
female,174,68
male,182,90
female,158,69
female,162,62
female,190,92
female,161,56
female,157,75
male,166,65
female,166,68
male,186,86
male,165,76
male,173,66
male,187,84
female,172,67
male,179,89
male,173,93
male,185,88
male,171,91
male,162,75
male,163,72
female,182,89
female,166,102
female,173,73
male,178,87
male,171,88
male,193,105
male,181,86
female,176,86
male,164,62
female,178,86
male,167,68
male,190,89
male,174,90
female,161,47
male,168,92
female,160,69
male,181,104
male,173,90
female,154,57
